disease,icd,count
deep vein thrombosis,"['I82.491', 'I82.492', 'I82.493', 'I82.499', 'I82.591', 'I82.592', 'I82.593']",11
obsessive-compulsive disorder,"['F42.8', 'F42.9', 'F60.5']",11
head and neck neoplasms,"['C76.0', 'C47.0', 'C49.0', 'C77.0', 'D17.0', 'D21.0', 'D36.11']",11
eosinophilic esophagitis,['K20.0'],11
"osteoporosis, postmenopausal","['N95.0', 'N95.2']",11
dyslipidemias,None,11
acute myeloid leukemia (aml),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",11
adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",11
chronic myelogenous leukemia,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",11
agitation,"['R45.1', 'F01.A11', 'F01.B11', 'F01.C11', 'F03.A11', 'F03.B11', 'F03.C11']",11
relapsing multiple sclerosis,"['M94.1', 'A68.9', 'A68.0', 'A68.1', 'M35.6']",11
attention deficit hyperactivity disorder (adhd),"['F90.2', 'F90.8', 'F90.9', 'F90.0', 'F90.1']",11
bacterial vaginosis,"['A49.9', 'G00.8', 'G00.9', 'J15.9', 'K65.2', 'A04.9', 'A05.9']",11
duchenne muscular dystrophy,['G71.01'],11
healthy subjects,None,11
metabolism and nutrition disorder,"['E70.5', 'E71.32', 'E72.4', 'E76.9', 'E78.89', 'E83.2', 'E88.40']",11
hyperkalemia,"['E87.5', 'P74.31']",11
hypoglycemia,"['E16.1', 'E16.2', 'P70.3', 'P70.4', 'E16.0', 'E10.641', 'E10.649']",11
sedation,"['T88.52XS', 'Z92.83', 'T88.52XA', 'T88.52XD']",11
hyperphosphatemia,None,11
presbyopia,['H52.4'],11
stage iiia non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",10
adult giant cell glioblastoma,None,10
adult gliosarcoma,None,10
"heart failure, congestive","['I50.20', 'I50.21', 'I50.22', 'I50.30', 'I50.31', 'I50.32', 'I50.40']",10
heart disease,"['I11.0', 'I11.9', 'I27.1', 'I51.9', 'I09.9', 'I27.9', 'I01.8']",10
waldenstrom macroglobulinemia,['C88.0'],10
anorexia nervosa,"['F50.00', 'F50.01', 'F50.02']",10
primary myelofibrosis,"['D75.81', 'C94.41', 'C94.42', 'C94.40']",10
recurrent non-small cell lung carcinoma,"['D02.20', 'D02.21', 'D02.22']",10
follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",10
non-small-cell lung carcinoma,"['D02.20', 'D02.21', 'D02.22']",10
aging,None,10
malignant melanoma,"['C43.0', 'C43.31', 'C43.51', 'C43.9', 'C43.4', 'C43.52', 'C43.10']",10
recurrent adult acute lymphoblastic leukemia,"['C83.57', 'C83.50', 'C91.01', 'C91.02', 'C83.52', 'C83.56', 'C83.53']",10
"osteoarthritis, hip","['M16.9', 'M16.0', 'M16.10', 'M16.11', 'M16.12', 'M16.30', 'M16.31']",10
breast carcinoma,"['C4A.52', 'C44.511', 'C44.521', 'D05.00', 'D05.01', 'D05.02', 'D05.10']",10
acute myocardial infarction,"['I21.9', 'I23.8', 'I23.0', 'I24.0', 'I23.1', 'I23.2', 'I23.4']",10
relapsing remitting multiple sclerosis,"['M94.1', 'A68.9', 'A68.0', 'A68.1', 'M35.6']",10
tourette syndrome,['F95.2'],10
acute respiratory distress syndrome,['J80'],10
neuropathic pain,"['E85.1', 'E85.0', 'N31.0', 'N31.1', 'N31.2', 'E10.610', 'E11.610']",10
hereditary angioedema,"['D58.0', 'D58.1', 'D80.0', 'E79.82', 'E83.110', 'Q82.0', 'D64.0']",10
hypogonadism,['G11.5'],10
endometrial cancer,"['N85.00', 'N85.01', 'N85.02', 'N99.85']",10
spinal cord injury,"['P11.5', 'S34.139S', 'S34.139A', 'S34.139D', 'S14.109S', 'S24.109S', 'S34.109S']",10
"carcinoma, squamous cell","['C44.520', 'C44.92', 'C44.02', 'C44.321', 'C44.521', 'C44.82', 'C44.42']",10
"lymphoma, non-hodgkin","['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",10
mixed dyslipidemia,None,10
diarrhea,"['K59.1', 'R19.7', 'P78.3', 'K58.0', 'K58.9']",10
back pain,"['M54.50', 'M54.51', 'M54.59']",10
cataract,"['H26.9', 'Q12.0', 'H59.023', 'H26.20', 'H26.40', 'H26.8', 'H59.021']",10
hodgkin's lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",10
eczema,"['B00.0', 'L20.82', 'L20.84', 'L20.83', 'H01.131', 'H01.132', 'H01.133']",10
autistic disorder,['F84.0'],10
solid tumor,None,10
hyponatremia,"['P74.22', 'E87.1']",10
gastroparesis,['K31.84'],10
skin cancer,"['C79.2', 'C44.500', 'C44.90', 'D23.9', 'D48.5', 'C44.00', 'C44.301']",10
arthritis,"['A01.04', 'A02.23', 'A39.83', 'A39.84', 'A54.42', 'B06.82', 'B26.85']",10
non-alcoholic steatohepatitis,['K75.81'],10
dental caries,"['K02.3', 'K02.7', 'K02.9', 'Z91.841', 'Z91.842', 'Z91.843', 'Z91.849']",10
tobacco dependence,"['F17.220', 'F17.221', 'F17.223', 'F17.290', 'F17.291', 'F17.293', 'Z81.2']",10
attention-deficit/hyperactivity disorder,"['F90.2', 'F90.8', 'F90.9', 'F90.0', 'F90.1']",10
acquired immunodeficiency syndrome,"['D84.9', 'D81.9', 'D83.9', 'D84.821', 'B20', 'D82.2', 'D84.822']",10
dental pain,None,10
labor pain,None,10
malignant neoplasm,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",10
prediabetes,['R73.03'],10
opioid use,"['F11.90', 'F11.94', 'F11.981', 'F11.982', 'F11.988', 'F11.99', 'F11.959']",10
"anemia, sickle cell",None,9
pancreatic neoplasms,['C25.3'],9
recurrent grade 3 follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",9
recurrent mantle cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",9
inflammatory bowel disease,"['M06.4', 'G61.89', 'G61.9', 'M35.81', 'G61.81', 'K75.9', 'M27.2']",9
lung neoplasms,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",9
chronic myelomonocytic leukemia,"['C93.11', 'C93.12', 'C93.10']",9
mucositis,"['J34.81', 'K92.81', 'K12.30', 'K12.39', 'K12.33', 'N76.81', 'K12.31']",9
solid tumors,None,9
squamous cell carcinoma,"['C44.520', 'C44.92', 'C44.02', 'C44.321', 'C44.521', 'C44.82', 'C44.42']",9
stage i prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",9
stage iii prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",9
recurrent marginal zone lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",9
recurrent prostate carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",9
adult acute myeloid leukemia with 11q23 (mll) abnormalities,"['R19.5', 'H35.09', 'M26.50', 'M26.59', 'Q99.8', 'R06.89', 'R06.9']",9
adult acute myeloid leukemia with inv(16)(p13;q22),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",9
adult acute myeloid leukemia with t(16;16)(p13;q22),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",9
adult acute myeloid leukemia with t(8;21)(q22;q22),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",9
dysmenorrhea,"['N94.4', 'N94.5', 'N94.6']",9
psychotic disorders,"['F23', 'F24', 'F12.159', 'F12.259', 'F12.150', 'F12.151', 'F12.250']",9
carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",9
post-traumatic stress disorder,"['F43.10', 'F43.11', 'F43.12']",9
sleep initiation and maintenance disorders,"['Y93.E9', 'Y93.H9']",9
dry eye syndromes,"['H04.121', 'H04.122', 'H04.123', 'H04.129']",9
heartburn,['R12'],9
hemophilia a,"['Z14.01', 'Z14.02', 'D68.311']",9
adenocarcinoma of the gastroesophageal junction,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",9
fever,"['A78', 'A79.0', 'A93.1', 'A96.2', 'R50.82', 'R50.83', 'R50.9']",9
septic shock,"['T81.12XS', 'R65.20', 'R65.21', 'T81.12XA', 'T81.12XD']",9
spasticity,None,9
clear cell renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",9
peritoneal cancer,"['K65.1', 'K66.0', 'N99.4', 'N73.6', 'R88.0', 'Z49.32', 'Z49.02']",9
acute lung injury,['J95.84'],9
perennial allergic rhinitis,"['D69.0', 'L50.0', 'B44.81', 'J30.89', 'J30.9', 'L20.84', 'H10.45']",9
pre-diabetes,"['O24.32', 'O24.82', 'O24.02', 'O24.12', 'O24.33', 'O24.83', 'O24.03']",9
"arthritis, psoriatic",['L40.52'],9
allergy,"['T78.40XS', 'T78.49XS', 'Z91.010', 'Z91.012', 'Z91.013', 'Z91.030', 'Z91.040']",9
primary insomnia,['F51.01'],9
"hepatitis b, chronic","['B18.0', 'B18.1', 'B18.2', 'B18.8', 'B18.9']",9
migraine headache,"['G43.B1', 'G43.D1', 'G43.B0', 'G43.D0', 'G43.A1', 'G43.411', 'G43.419']",9
"lymphocytic leukemia, chronic","['C91.11', 'C91.12', 'C91.10']",9
metastatic renal cell carcinoma,"['C22.0', 'C4A.9', 'C7B.1', 'C4A.0', 'C4A.31', 'C4A.51', 'C4A.8']",9
cigarette smoking,"['X08.01XS', 'X08.11XS', 'X08.01XA', 'X08.01XD', 'X08.11XA', 'X08.11XD', 'X08.21XS']",9
pancreatic adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",9
gastric adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",9
gliosarcoma,None,9
neuromuscular blockade,"['M41.40', 'M41.42', 'M41.43', 'M41.44', 'M41.45', 'M41.46', 'M41.47']",9
systemic sclerosis,"['M34.0', 'M34.89', 'M34.9', 'M34.82', 'M34.83', 'M34.81', 'M34.2']",9
hidradenitis suppurativa,['L73.2'],9
primary open angle glaucoma,"['H40.1130', 'H40.1131', 'H40.1132', 'H40.1133', 'H40.1134', 'H40.1110', 'H40.1111']",9
chronic idiopathic constipation,['K59.04'],9
heart failure with preserved ejection fraction,None,9
triple negative breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",9
neoplasm metastasis,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",8
kidney failure,"['N19', 'T86.12', 'N17.8', 'N17.9', 'N99.0', 'O90.49', 'N17.0']",8
stage iv melanoma,"['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']",8
stage iiib non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",8
"diabetes mellitus, non-insulin-dependent","['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']",8
recurrent melanoma,"['G47.13', 'J01.41', 'K11.22', 'K12.0', 'N96', 'F33.8', 'G03.2']",8
hepatitis b,"['B18.0', 'B18.1', 'B19.10', 'B19.11', 'B17.0', 'B16.0', 'B16.1']",8
renal transplantation,"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",8
post menopausal osteoporosis,"['M81.6', 'Z82.62', 'Z13.820', 'M81.8', 'Z87.310', 'M81.0', 'M80.80XS']",8
dyspnea,"['R06.00', 'J95.87', 'R06.09']",8
recurrent adult burkitt lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",8
recurrent adult diffuse large cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",8
neutropenia,"['D70.4', 'D70.8', 'D70.9', 'P61.5', 'D70.3']",8
liver diseases,"['K76.9', 'K71.8', 'K70.9', 'K71.9', 'K75.9', 'P78.84', 'Q44.6']",8
non-small-cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",8
periodontitis,"['K04.5', 'K05.20', 'K05.30', 'K05.211', 'K05.212', 'K05.213', 'K05.221']",8
narcolepsy,"['G47.411', 'G47.419', 'G47.421', 'G47.429']",8
major depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",8
liver transplantation,"['Z52.6', 'K71.8', 'K71.7', 'A06.4', 'C22.0', 'C22.3', 'K70.0']",8
"diabetes mellitus, type ii","['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']",8
osteopenia,None,8
adult acute myeloid leukemia in remission,"['C90.01', 'C90.21', 'C90.31', 'C92.31', 'C95.91', 'F10.11', 'F10.21']",8
recurrent grade 1 follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",8
recurrent grade 2 follicular lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",8
hiv-1,"['B20', 'Z71.7', 'Z29.81', 'O98.72', 'Z21', 'O98.73', 'R75']",8
refractory multiple myeloma,"['D46.4', 'I20.2', 'D46.1', 'D46.A', 'D46.0', 'D46.20', 'D46.21']",8
adult acute myeloid leukemia with del(5q),"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",8
impaired glucose tolerance,['R73.02'],8
hodgkin lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",8
nsclc,None,8
headache,"['G44.81', 'G44.86', 'R51.9', 'G44.53', 'G44.83', 'G44.84', 'G44.85']",8
"multiple sclerosis, relapsing-remitting","['G35', 'G93.81', 'K74.1', 'Q85.1', 'G12.21', 'G12.23', 'M34.0']",8
dysthymic disorder,['F34.1'],8
bone metastases,None,8
advanced parkinson's disease,"['G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",8
type 2 diabetes mellitus (t2dm),"['E23.2', 'N25.1', 'P70.2', 'O24.92', 'Z83.3', 'Z86.32', 'E10.65']",8
metabolic syndrome x,"['E88.810', 'G93.41', 'E87.21', 'E87.22', 'E88.9', 'E88.89', 'O21.1']",8
bleeding,"['N92.3', 'N95.0', 'K29.80', 'K29.81', 'I85.00', 'I85.01', 'K20.80']",8
glioma,None,8
myeloma,"['C90.01', 'C90.02', 'C90.00']",8
stage iv renal cell cancer ajcc v7,"['C96.20', 'C96.29', 'D47.09']",8
acromegaly,['E22.0'],8
"diabetic neuropathy, painful","['G58.0', 'G61.1', 'A52.15', 'G60.3', 'G61.82', 'H46.2', 'H46.3']",8
her2/neu negative,"['A41.50', 'A41.59', 'E70.320', 'Z17.1', 'Z67.11', 'Z67.21', 'Z67.31']",8
stage iv breast cancer ajcc v6 and v7,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",8
prader-willi syndrome,['Q87.11'],8
myelofibrosis,"['D75.81', 'C94.41', 'C94.42', 'C94.40']",8
diabetic peripheral neuropathy,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",8
untreated adult acute myeloid leukemia,"['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']",8
endothelial dysfunction,"['H18.513', 'H18.511', 'H18.512', 'H18.519']",8
allergic conjunctivitis,['H10.45'],8
"hyperparathyroidism, secondary","['E21.1', 'N25.81']",8
cough,"['R05.1', 'R05.2', 'R05.3', 'R05.4', 'R05.9', 'G44.83', 'J45.991']",8
cognitive impairment,['G31.84'],8
post operative pain,None,8
moderate or severe submental fullness,"['F71', 'N87.1', 'N89.1', 'N90.1', 'E44.0', 'J45.40', 'K05.212']",8
opioid-induced constipation,"['F11.14', 'F11.181', 'F11.182', 'F11.188', 'F11.19', 'F11.24', 'F11.281']",8
renal insufficiency,"['N25.0', 'Q61.4', 'N23', 'N26.9', 'P96.0', 'Q60.0', 'Q60.1']",8
huntington's disease,['G10'],8
osteosarcoma,None,8
bronchiectasis,"['J47.9', 'Q33.4', 'J47.1', 'J47.0']",8
human immunodeficiency virus,"['B20', 'Z71.7', 'O98.72', 'Z21', 'O98.73', 'R75', 'Z11.4']",8
brain metastases,None,8
myasthenia gravis,"['P94.0', 'G70.00', 'G70.01']",8
actinic keratoses,None,8
pharmacokinetics,None,8
skin diseases,"['L99', 'O99.711', 'O99.712', 'O99.713', 'O99.719', 'O99.72', 'O99.73']",8
open-angle glaucoma,"['H40.10X0', 'H40.10X1', 'H40.10X2', 'H40.10X3', 'H40.10X4', 'H40.1130', 'H40.1131']",8
epithelial ovarian cancer,"['H18.523', 'H18.521', 'H18.522', 'H18.529']",8
urothelial cancer,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",8
metastatic pancreatic adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",8
gastroesophageal junction adenocarcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",8
idiopathic parkinson's disease,"['G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",8
triple-negative breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",8
dentin sensitivity,"['H53.71', 'H53.72', 'K90.41']",8
tardive dyskinesia,"['K22.4', 'G24.01', 'G20.A2', 'G20.B2', 'G20.A1', 'G20.B1']",8
vitamin d deficiency,"['E55.9', 'D51.0', 'D51.1', 'D51.3', 'D51.8', 'D51.9', 'E50.0']",8
knee osteoarthritis,"['M17.9', 'M17.0', 'M17.10', 'M17.11', 'M17.12', 'M17.2', 'M17.30']",8
neovascular age-related macular degeneration,"['H35.3211', 'H35.3212', 'H35.3221', 'H35.3222', 'H35.3231', 'H35.3232', 'H35.3291']",8
alopecia areata,"['L63.8', 'L63.9']",8
non-hodgkins lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",7
soft tissue sarcoma,['C46.1'],7
metastatic prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",7
end-stage renal disease,"['N18.6', 'I12.0', 'I13.11', 'I13.2']",7
recurrent adult diffuse mixed cell lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",7
hematologic malignancies,"['E70.338', 'E70.339', 'P09.3', 'O28.0', 'P61.8', 'P61.9', 'T45.8X1A']",7
myelodysplastic/myeloproliferative neoplasms,"['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']",7
fatty liver,"['K70.0', 'K76.0']",7
kidney neoplasms,"['D17.71', 'D30.00', 'D30.01', 'D30.02', 'D41.00', 'D41.01', 'D41.02']",7
stage ia breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",7
stage ib breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",7
metastases,None,7
prostatic hyperplasia,"['N40.0', 'N40.1']",7
diabetic retinopathy,"['H35.23', 'H35.20', 'H35.21', 'H35.22', 'E10.3553', 'E11.3553', 'E13.3553']",7
refractory plasma cell myeloma,"['D46.4', 'I20.2', 'D46.1', 'D46.A', 'D46.0', 'D46.20', 'D46.21']",7
recurrent small lymphocytic lymphoma,"['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']",7
dermatomyositis,"['M33.02', 'M33.03', 'M33.12', 'M33.13', 'M33.00', 'M33.01', 'M33.10']",7
cirrhosis,"['K74.3', 'K74.4', 'K74.5', 'K74.60', 'K74.69', 'P78.81', 'K70.30']",7
chronic low back pain,None,7
hormone-resistant prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",7
secondary acute myeloid leukemia,"['D75.1', 'E26.1', 'N91.1', 'N91.4', 'N94.5', 'A51.41', 'A51.43']",7
substance abuse,"['F19.10', 'F19.14', 'F19.17', 'F19.180', 'F19.181', 'F19.182', 'F19.188']",7
diabetic neuropathies,['G60.8'],7
invasive breast carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",7
stage i breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",7
peritoneal neoplasms,"['K65.1', 'K66.0', 'N99.4', 'N73.6', 'R88.0', 'Z49.32', 'Z49.02']",7
cytomegalovirus infections,['P35.1'],7
hereditary angioedema (hae),"['D58.0', 'D58.1', 'D80.0', 'E79.82', 'E83.110', 'Q82.0', 'D64.0']",7
chronic idiopathic urticaria,"['E20.0', 'I95.0', 'L50.1', 'D61.3', 'G24.2', 'G24.4', 'G60.3']",7
nausea and vomiting,"['R11.10', 'R11.12', 'R11.14', 'R11.11', 'K91.0', 'O21.2', 'O21.8']",7
exocrine pancreatic insufficiency,['K86.81'],7
"carcinoma, non-small cell lung","['D02.20', 'D02.21', 'D02.22']",7
central nervous system diseases,"['G37.9', 'G37.3', 'G13.1', 'G09', 'G13.8', 'G37.89']",7
chemotherapy-induced nausea and vomiting,['D61.810'],7
keratoconjunctivitis sicca,"['H16.223', 'H16.221', 'H16.222', 'H16.229']",7
recurrent non-small cell lung cancer,"['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",7
hyperparathyroidism,"['E21.0', 'E21.2', 'E21.3', 'E21.1', 'N25.81']",7
estrogen receptor positive,['Z17.0'],7
spinal cord injuries,"['P15.8', 'T07.XXXS', 'P12.89', 'P13.1', 'P14.3', 'T07.XXXA', 'T07.XXXD']",7
diabetic neuropathy,"['E10.40', 'E11.40', 'E13.40', 'E10.43', 'E11.43', 'E13.43', 'E08.40']",7
neuropathy,"['G58.0', 'G61.1', 'A52.15', 'G60.3', 'G61.82', 'H46.2', 'H46.3']",7
nocturia,['R35.1'],7
primary hypercholesterolemia,"['E78.01', 'E78.00', 'Z83.42']",7
diabetes mellitus type 2,"['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']",7
"hypertension, pulmonary","['I27.0', 'I27.20', 'I27.21', 'I27.24', 'I27.29', 'P29.30', 'I27.22']",7
peripheral arterial disease,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",7
myocardial ischemia,"['I25.6', 'P29.4']",7
chronic myeloid leukemia,"['C92.11', 'C92.12', 'C92.21', 'C92.22', 'C92.10', 'C92.20']",7
congenital heart disease,['P09.5'],7
peripheral artery disease,"['A18.2', 'H11.043', 'H11.053', 'H18.463', 'H35.40', 'H81.393', 'I73.9']",7
"sleep apnea, obstructive","['G47.33', 'P28.32']",7
estrogen receptor-positive breast cancer,"['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']",7
insulin sensitivity,"['H53.71', 'H53.72', 'K90.41']",7
acne,"['L70.0', 'L70.1', 'L70.2', 'L70.3', 'L70.4', 'L70.5', 'L70.8']",7
heterozygous familial hypercholesterolemia,"['E78.01', 'E78.00', 'Z83.42']",7
multiple system atrophy,"['G35', 'M15.3', 'M67.49', 'M89.09', 'M89.59', 'M94.29', 'Q78.6']",7
critical illness,"['G62.81', 'G72.81']",7
treatment resistant depression,"['F32.A', 'F53.0', 'P91.4', 'Z13.31', 'Z13.32']",7
"kidney failure, chronic","['N99.0', 'I13.0', 'I13.10', 'I13.11', 'I13.2']",7
recurrent ovarian carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",7
castration-resistant prostate cancer,"['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']",7
iron deficiency anaemia,"['D81.810', 'E53.0', 'E53.1', 'E61.0', 'E61.1', 'E61.2', 'E61.3']",7
urothelial carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",7
primary peritoneal carcinoma,"['C22.0', 'C22.1', 'C4A.9', 'C7B.1', 'D09.9', 'C4A.0', 'C4A.31']",7
dry eye syndrome,"['H04.121', 'H04.122', 'H04.123', 'H04.129']",7
irritable bowel syndrome with diarrhea,"['K58.0', 'K58.9']",7
"depressive disorder, treatment-resistant","['F25.1', 'F32.89', 'F33.8', 'F33.0', 'F33.1', 'F33.9', 'F32.0']",7
clostridium difficile infection,"['A05.2', 'A04.71', 'A04.72', 'B96.7']",7
dyspepsia,['K30'],7
dry eye disease,"['H04.121', 'H04.122', 'H04.123', 'H04.129', 'H35.3111', 'H35.3112', 'H35.3121']",7
pruritus,"['L29.0', 'L29.1', 'L29.2', 'L29.8', 'L29.9', 'L29.3']",7
sars-cov2,None,7
stage iv pancreatic cancer,['C25.3'],6
quality of life,None,6
hematologic diseases,"['E70.338', 'E70.339', 'P09.3', 'O28.0', 'P61.8', 'P61.9', 'T45.8X1A']",6
drug/agent toxicity by tissue/organ,"['T86.91', 'T86.92', 'T86.93', 'Z52.9', 'Z94.89', 'Z94.9', 'T86.90']",6
radiation toxicity,"['K62.7', 'G62.82', 'N46.024', 'N46.124', 'T66.XXXS', 'Z57.1', 'N52.35']",6
brain tumors,"['C71.7', 'C71.9', 'C79.31', 'D33.0', 'D33.1', 'D33.2', 'D49.6']",6
thalassemia,"['D56.0', 'D56.1', 'D56.3', 'D56.9', 'D56.2', 'D56.5', 'D57.40']",6
ischemic heart disease,"['I24.9', 'I25.9', 'I24.89', 'I25.89', 'Z82.49']",6
aids,None,6
"lung cancer, non-small cell","['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']",6
anal cancer,"['C21.1', 'C44.500', 'C44.590', 'D12.9', 'C21.8']",6
social anxiety disorder,"['F20.81', 'F21', 'F34.0', 'F34.1', 'F42.3', 'F45.0', 'F51.5']",6
hematopoietic and lymphoid cell neoplasm,"['C96.20', 'C96.29', 'D47.09']",6
plasma cell myeloma,None,6
chronic heart failure,"['I50.812', 'I50.22', 'I50.32', 'I50.813', 'I50.23', 'I50.33', 'I50.42']",6
